,cited_assignee,cited_publication_number,citing_publication_number,citing_assignee,cited_cpc_code,citing_cpc_code,filing_year
0,BECKHAM BRITTANY FLETCHER,US-2017011452-A1,US-2018218433-A1,FOGEL DAVID,G06Q30/06,G06Q30/06,2016
1,BANK OF AMERICA,US-2018150899-A1,US-2018375660-A1,DELL PRODUCTS LP,G06Q30/06,H04L9/322,2016
2,SQUARE INC,US-9934530-B1,US-10467562-B1,COUPANG CORP,G06Q30/06,G06Q10/06,2016
3,WIECHERS RALPH,US-2017132691-A1,US-10497192-B2,CARRIER CORP,G06Q30/06,G07C9/27,2016
4,KIMREE HI-TECH INC,US-2016260156-A1,US-10159282-B2,JUUL LABS INC,G06Q30/06,A24F47/00,2016
5,MAZED MOHAMMAD A,US-2017316487-A1,KR-20190004113-A,KOREA MARITIME UNIV INDUSTRY ACADEMIC COOPERATION FOUNDATION,G06Q30/06,G02B6/122,2017
6,WAL-MART STORES INC,US-2016314514-A1,US-2018096266-A1,VIVEO LABS INC,G06Q30/06,G06Q10/06,2016
7,THE FIFTH ELECTRONICS RES INST OF MINI OF IND AND INFORMATION TECH,CN-106651519-A,CN-107239993-A,UNIV HAINAN,G06Q30/06,G06Q30/06,2016
8,BEIJING JINGDONG CENTURY TRADING CO LTD,CN-106296367-A,WO-2018032955-A1,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,G06Q30/06,G06Q30/06,2016
9,SUINNO OY,US-2018040045-A1,US-10078661-B1,IBM,G06Q30/06,G06F16/24,2017
10,ASPHOLM INVEST OY,US-2016379297-A1,CN-108399692-A,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q20/20,2016
11,LEE KWANG BUM,US-2017331898-A1,US-9942328-B2,AFERO INC,G06Q30/06,H04L67/12,2016
12,LEASECALCS INC,US-2017249705-A1,US-10430870-B2,LEASECALCS INC,G06Q30/06,G06Q30/06,2017
13,BEIJING MI MOBILE SOFTWARE CO LTD,CN-106251202-A,CN-107492021-A,WUHAN QIMI NETWORK TECH CO LTD,G06Q30/06,G06Q30/06,2016
14,BEIJING YUECHANG TECH CO LTD,CN-107239998-A,CN-107745762-A,GUANGXI NANNING YINGFANDA TECH CO LTD,G06Q30/06,B62H5/00,2017
15,SHANGHAI CLOUD PICK INTELLIGNET TECH CO LTD,CN-108332829-A,WO-2019144691-A1,SHANGHAI YUNNA INTELLIGENT TECH CO LTD,G06Q30/06,G01G19/00,2018
16,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-107730346-A,WO-2019192122-A1,PING AN TECH SHENZHEN CO LTD,G06Q30/06,G06Q30/02,2017
17,TRUECAR INC,US-2018158086-A1,US-10515382-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2018
18,DREAMMIZ CO LTD,KR-20170104793-A,EP-3441923-A1,BARCLAYS BANK PLC,G06Q30/06,G06Q20/32,2016
19,MICROSOFT TECHNOLOGY LICENSING LLC,US-2018033066-A1,US-2017053326-A1,WAL-MART STORES INC,G06Q30/06,G06Q30/02,2016
20,TRUECAR INC,US-10269031-B2,US-10489809-B2,TRUECAR INC,G06Q30/06,G06Q30/06,2016
21,MAGIC LEAP INC,US-2017039613-A1,US-10176640-B2,QUALTRICS LLC,G06Q30/06,G06T19/00,2016
22,AMAZON TECH INC,US-2017004335-A1,US-2019026753-A1,WALMART APOLLO LLC,G06Q30/06,G06Q30/01,2016
23,LANDRY FORREST,US-2017278180-A1,US-10407191-B1,EXOANALYTIC SOLUTIONS INC,G06Q30/06,G06T11/20,2017
24,Kost Amir,WO-2018051184-A1,US-10559028-B2,EBAY INC,G06Q30/06,G06Q30/06,2017
25,JAKKS PACIFIC INC,US-2017076343-A1,US-10092117-B2,AVERY DENISON RETAIL INFORMATION SERVICES LLC,G06Q30/06,A47F7/10,2016
26,GOOGLE INC,US-2017300995-A1,US-10552498-B2,IBM,G06Q30/06,G06F16/95,2016
27,EBAY INC,US-2018012283-A1,US-2018150111-A1,LG DISPLAY CO LTD,G06Q30/06,H01L51/52,2016
28,DIGIMARC CORP,US-2018158133-A1,US-10360495-B2,SUGGESTIC INC,G06Q30/06,G09B5/02,2017
29,SHANGHAI CLOUD PICK INTELLIGNET TECH CO LTD,CN-108332829-A,CN-109448237-A,LAKALA HUIJI TIANXIA TECH SERVICE BEIJING CO LTD,G06Q30/06,G07F11/02,2018
30,VAST COM INC,US-9710843-B2,US-10115074-B1,VAST COM INC,G06Q30/06,G06Q10/08,2016
31,MAZED MOHAMMAD A,US-2017316487-A1,KR-20190004113-A,KOREA RES INST STANDARDS & SCI,G06Q30/06,G02B6/122,2017
32,HANGZHOU ZAIGU TECH CO LTD,CN-107220880-A,CN-107886412-A,XIAMEN XINFENHONG NETWORK TECH CO LTD,G06Q30/06,G06Q30/06,2017
33,MASTERCARD INTERNATIONAL INC,US-2016379290-A1,US-2018285859-A1,SANDOVAL MYRA,G06Q30/06,G06Q30/02,2016
34,PRICER AB,US-2016260163-A1,US-9844156-B2,CLOVERLEAF MEDIA LLC,G06Q30/06,H05K5/021,2016
35,KOHL'S DEPT STORES INC,US-2017061525-A1,US-2017215124-A1,NOODOE CORP,G06Q30/06,H04W40/24,2016
36,MASTERCARD INTERNATIONAL INC,US-2017206593-A1,US-10291956-B2,SONIFI SOLUTIONS INC,G06Q30/06,H04N21/43,2016
37,KIMREE HI-TECH INC,US-2016260156-A1,US-10045568-B2,JUUL LABS INC,G06Q30/06,A24F47/00,2016
38,COMENITY LLC,US-2018330415-A1,US-10580025-B2,EXPERIAN INF SOLUTIONS INC,G06Q30/06,G06Q30/02,2017
39,CHOW EDMOND K,US-2016225059-A1,US-2018020039-A1,McCabe Dan,G06Q30/06,H04L67/02,2016
40,ANDON CHRISTOPHER,US-2016350833-A1,US-10430861-B2,NIKE INC,G06Q30/06,G06Q30/06,2016
41,EBAY INC,US-2017083966-A1,US-10524165-B2,BANK OF AMERICA,G06Q30/06,H04W28/26,2016
42,LUNATECH LLC,US-2017091853-A1,US-10201190-B2,JUUL LABS INC,G06Q30/06,A24F47/00,2016
43,GOGORO INC,US-2017039631-A1,US-10110724-B2,TITAN HEALTH & SECURITY TECH INC,G06Q30/06,H04M1/725,2016
44,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-106875264-A,CN-108038090-A,BEIJING WONDERSOFT TECH CORP LTD,G06Q30/06,G06F40/10,2017
45,KIM JI YOON,KR-20170126176-A,KR-101969876-B1,INTERIORBROTHERS INC,G06Q30/06,G06Q10/08,2016
46,GRABANGO CO,US-2018232796-A1,US-10474992-B2,STANDARD COGNITION CORP,G06Q30/06,G06Q10/08,2018
47,CHINA POST E-COMMERCE CO LTD,CN-107194770-A,CN-107901659-A,SHANGHAI ELOOKS NETWORK TECH CO LTD,G06Q30/06,B42D15/02,2017
48,KOHL'S DEPT STORES INC,US-2017061525-A1,WO-2019040661-A1,ALIBABA GROUP HOLDING LTD,G06Q30/06,G01C21/20,2016
49,Fooji LLC,US-2016343062-A1,US-2019122403-A1,PAYPAL INC,G06Q30/06,G06T11/60,2016
50,KHOMENKO MARIA,US-2016174044-A1,US-10579784-B2,BIOCATCH LTD,G06Q30/06,G06F21/32,2016
51,EBAY INC,US-2016275587-A1,US-10453108-B2,EBAY INC,G06Q30/06,G06F40/58,2016
52,PAYPAL INC,US-2017278174-A1,EP-3435308-A1,MASTERCARD ASIA/PACIFIC PTE LTD,G06Q30/06,G06Q20/12,2016
53,WAL MART STORES INC,US-2018300800-A1,US-10572854-B2,LOCUS ROBOTICS CORP,G06Q30/06,G06Q10/08,2017
54,GO DADDY OPERATING CO LLC,US-2018144381-A1,US-10511500-B2,NIPPON TELEGRAPH & TELEPHONE,G06Q30/06,H04L43/04,2018
55,MCKAY GARY HOWARD,US-2018025403-A1,US-10225253-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,H04L63/10,2016
56,LEE SUNG HYUN,US-2018349975-A1,US-10515401-B1,CAPITAL ONE SERVICES LLC,G06Q30/06,G06Q10/08,2018
57,RENOVATE AMERICA INC,US-2016371762-A1,WO-2018149817-A1,SCHMIDT SEBASTIAN,G06Q30/06,G06Q50/06,2016
58,CHOW EDMOND K,US-2016225059-A1,US-2018137090-A1,IBM,G06Q30/06,G06F40/20,2016
59,WAL-MART STORES INC,US-2017323359-A1,US-10565550-B1,TARGET BRANDS INC,G06Q30/06,G06Q10/08,2017
60,ALIBABA GROUP HOLDING LTD,CN-106874817-A,WO-2018019169-A1,TONG JUN,G06Q30/06,G06K7/141,2016
61,EYEPICK LLC,US-2018374144-A1,US-10414600-B2,FANUC CORP,G06Q30/06,B65G47/90,2017
62,GOLDUBER GARY,WO-2016201355-A1,EP-3480793-A1,CARRIER CORP,G06Q30/06,G07C9/215,2016
63,CHENGDU WODE TECH CO LTD,CN-106251203-A,CN-106709793-A,HANGZHOU LINK TECH CO LTD,G06Q30/06,G06Q30/06,2016
64,DIGIPRINT IP LLC,US-10134077-B2,US-10580026-B2,DIGIPRINT IP LLC,G06Q30/06,G06Q30/02,2017
65,WALMART APOLLO LLC,US-2018260881-A1,US-10392190-B1,VECNA TECH INC,G06Q30/06,B25J15/06,2018
66,KLINGER THERESA,US-2017024791-A1,US-2018018078-A1,TRIBUNE BROADCASTING CO LLC,G06Q30/06,G06F3/048,2016
67,WAL-MART STORES INC,US-2017287053-A1,US-2017330256-A1,TOSHIBA GLOBAL COMMERCE SOLUTIONS HOLDINGS CORP,G06Q30/06,G06Q30/06,2017
68,CISCO TECH INC,US-2018025399-A1,US-10360606-B2,CISCO TECH INC,G06Q30/06,G06Q30/06,2016
69,WAL-MART STORES INC,WO-2017079015-A1,FR-3072201-A1,PRODOSE,G06Q30/06,G06Q30/02,2016
70,BEIJING JINGDONG CENTURY TRADING CO LTD,CN-107292694-A,CN-108897809-A,XIANGYA HOSPITAL CENTRAL SOUTH UNIV,G06Q30/06,G06Q30/06,2016
71,MICROSOFT TECHNOLOGY LICENSING LLC,US-2017372401-A1,US-10521967-B2,ADOBE INC,G06Q30/06,G06T19/00,2016
72,RATHUS SPENCER A,US-2017169495-A1,US-10412242-B2,KYOCERA DOCUMENT SOLUTIONS INC,G06Q30/06,H04N1/004,2016
73,NEXTEV USA INC,US-2018012198-A1,US-10073463-B2,NIO USA INC,G06Q30/06,G05D1/029,2016
74,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-106296367-A,WO-2018032955-A1,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,G06Q30/06,G06Q30/06,2016
75,COGNIZANT TECH SOLUTIONS INDIA PVT LTD,US-2017148082-A1,US-10067965-B2,TWIGGLE LTD,G06Q30/06,G06F16/22,2016
76,SUNRISE R&D HOLDINGS LLC,US-2016328767-A1,US-2018189724-A1,WAL MART STORES INC,G06Q30/06,G06Q10/08,2016
77,FRANCIS THOMAS,US-2017116663-A1,US-10024681-B2,WAL MART STORES INC,G06Q30/06,G01C21/20,2016
78,LINKEDIN CORP,US-2017243277-A1,US-9886172-B1,RICH MEDIA VENTURES LLC,G06Q30/06,G06F3/013,2016
79,ALIBABA GROUP HOLDING LTD,CN-107230098-A,WO-2019169964-A1,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/02,2016
80,NEXTEV USA INC,US-2018012433-A1,US-10464530-B2,NIO USA INC,G06Q30/06,B60R25/25,2016
81,GRABANGO CO,WO-2017196822-A1,US-10474991-B2,STANDARD COGNITION CORP,G06Q30/06,G06Q10/08,2017
82,LINKEDIN CORP,US-2017243277-A1,US-10083672-B1,RICH MEDIA VENTURES LLC,G06Q30/06,G09G5/005,2016
83,PAYPAL INC,US-2018240178-A1,US-2017278174-A1,PAYPAL INC,G06Q30/06,G06Q30/06,2018
84,CJ E&M CORP,KR-101790312-B1,KR-101981612-B1,PERSONA MEDIA CO LTD,G06Q30/06,G06Q30/02,2016
85,SUNRISE R&D HOLDINGS LLC,US-2016328767-A1,US-2016209983-A1,SHENZHEN HUIDING TECHNOLOGY CO,G06Q30/06,G06F3/044,2016
86,TRUECAR INC,US-2017286983-A1,US-10269030-B2,TRUECAR INC,G06Q30/06,G06Q30/06,2017
87,SELFIESTYLER INC,US-2017352092-A1,US-10134200-B2,LEE WON YOUNG,G06Q30/06,G06T19/20,2017
88,ALLSTATE INSURANCE CO,US-2016232598-A1,US-9749812-B1,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,G06Q30/06,H04W4/40,2016
89,BEIJING QIYI CENTURY SCIENCE & TECHNOLOGY CO LTD,CN-107358490-A,CN-108364024-A,KINGDEE SOFTWARE CHINA CO LTD,G06Q30/06,G06K9/621,2017
90,Open Text SA,US-2016203538-A1,US-10169004-B2,OPEN TEXT SA ULC,G06Q30/06,G06F8/35,2016
91,MCKAY GARY HOWARD,US-2018025403-A1,US-10523493-B2,ORACLE INT CORP,G06Q30/06,H04L41/04,2016
92,ZUTING INCORPORATED,US-2018232792-A1,US-2017337722-A1,TOSHIBA AMERICA BUSINESS SOLUTIONS INC,G06Q30/06,G06T11/60,2016
93,UNDERSIDE S P R I,US-2017262929-A1,US-2017287021-A1,3-EAST LLC,G06Q30/06,G06Q30/06,2016
94,EBAY INC,US-2017372398-A1,US-2018107902-A1,EBAY INC,G06Q30/06,G06F16/58,2016
95,VALORBEC LP,US-2018268458-A1,US-10217029-B1,RINGCENTRAL INC,G06Q30/06,G06K9/626,2016
96,CHEEKS MILAN,US-2018211308-A1,US-2018374128-A1,PERFECT365 TECH COMPANY LTD,G06Q30/06,G06Q30/06,2018
97,OMNIOUS CO LTD,WO-2017142361-A1,CN-108304435-A,TENCENT TECH SHENZHEN CO LTD,G06Q30/06,G06F16/95,2017
98,SHANGHAI CLOUD PICK INTELLIGNET TECH CO LTD,CN-207783158-U,WO-2019120040-A1,SHANGHAI YUNNA INTELLIGENT TECH CO LTD,G06Q30/06,G07G1/000,2018
99,MX TECH INC,US-2017255793-A1,US-2018285859-A1,SANDOVAL MYRA,G06Q30/06,G06Q20/34,2017
100,PAYPAL INC,US-2017278174-A1,EP-3617982-A1,CAPITAL ONE SERVICES LLC,G06Q30/06,G06F40/17,2016
101,BEIJING HUITONG JINCAI INFORMATION TECH CO LTD,CN-107240001-A,WO-2019148783-A1,ONE CONNECT SMART TECH CO LTD SHENZHEN,G06Q30/06,G06Q20/06,2017
102,TRUECAR INC,US-2017286983-A1,US-10515382-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2017
103,WANG JAMES,US-2018253780-A1,WO-2019135242-A1,MARKOVIZ CHAIM,G06Q30/06,G06Q30/06,2018
104,SQUARE INC,US-9934530-B1,US-10467562-B1,COUPANG CORP,G06Q30/06,G06Q10/04,2016
105,DUAN CHAO,CN-107516263-A,CN-108445787-A,GREE ELECTRIC APPLIANCES INC ZHUHAI,G06Q30/06,G05B19/04,2017
106,LIVE EVER FIT LLC,US-2016284016-A1,US-2017352040-A1,PROMO TRAINERS LLC,G06Q30/06,G06Q30/02,2016
107,MINE ZERO GMBH,US-2018144380-A1,US-10277701-B2,FACEBOOK INC,G06Q30/06,H04L67/28,2016
108,THE TORONTO-DOMINION BANK,US-2017039608-A1,US-10484490-B2,BANK OF AMERICA,G06Q30/06,H04L67/22,2016
109,SHANGHAI CLOUD PICK INTELLIGNET TECH CO LTD,CN-108551658-A,WO-2019120040-A1,SHANGHAI YUNNA INTELLIGENT TECH CO LTD,G06Q30/06,H04W4/33,2018
110,EBAY INC,US-9910927-B2,US-10083243-B2,EBAY INC,G06Q30/06,G06Q30/06,2016
111,COGNIZANT TECH SOLUTIONS INDIA PVT LTD,US-2017148082-A1,US-10067965-B2,TWIGGLE LTD,G06Q30/06,G06F17/30,2016
112,ZHOU ZHENXING,CN-107424041-A,CN-108932674-A,FUJIAN XIHUO INFORMATION TECH CO LTD,G06Q30/06,G06Q50/12,2017
113,KHOMENKO MARIA,US-2016174044-A1,US-10474815-B2,BIOCATCH LTD,G06Q30/06,G06F21/55,2016
114,KOUKOUXIANGCHUAN BEIJING NETWORK TECH CO LTD,CN-108280749-A,CN-109190342-A,UNIV JINAN,G06Q30/06,G06F21/31,2018
115,NEXTDOOR COM INC,EP-3098773-A1,WO-2018127518-A1,PRAESTOO,G06Q30/06,G06Q30/06,2016
116,ELECTRONIC COMMODITIES EXCHANGE L P,US-2017278165-A1,US-10539510-B2,SHENZHEN DIKAI INDUSTIAL CO LTD,G06Q30/06,G01N21/87,2017
117,ADOBE SYSTEMS INC,US-2017228804-A1,US-10537803-B2,UNIVERSAL CITY STUDIOS LLC,G06Q30/06,A63F13/46,2016
118,GRABANGO CO,WO-2018148613-A1,US-10474991-B2,STANDARD COGNITION CORP,G06Q30/06,G06Q10/08,2018
119,METAIL LTD,US-9881334-B2,US-10157416-B2,METAIL LTD,G06Q30/06,G06Q30/06,2016
120,EBAY INC,US-2018011941-A1,US-10083243-B2,EBAY INC,G06Q30/06,G06F17/30,2017
121,NHN BIGFOOT CORP,KR-20180088547-A,KR-101998862-B1,PARK JE HYUN,G06Q30/06,G06Q50/30,2017
122,BANG SEUNG ON,KR-20170082294-A,KR-101962363-B1,DILUSSION INC,G06Q30/06,G06Q30/02,2016
123,LOOP COMMERCE INC,US-2018247367-A1,US-10373236-B2,LOOP COMMERCE INC,G06Q30/06,G06Q30/06,2018
124,MASTERCARD ASIA/PACIFIC PTE LTD,US-2017213268-A1,US-2018082682-A1,IBM,G06Q30/06,G10L15/22,2017
125,UNIV HUBEI NORMAL,CN-105447746-A,CN-107491952-A,SHANDONG INGKOO NETWORK TECH CO LTD,G06Q30/06,G06Q20/20,2016
126,SONG CHONGZHAI,CN-106530026-A,CN-107491993-A,UNIV CHONGQING SCI & TECH,G06Q30/06,G06Q30/02,2016
127,MICROSOFT TECHNOLOGY LICENSING LLC,US-2017083964-A1,US-9976864-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,G01C21/34,2016
128,ROYAL BANK OF CANADA,WO-2018014123-A1,EP-3617969-A1,MERCURIA ENERGY GROUP HOLDING SA,G06Q30/06,G06Q10/08,2017
129,PAYPAL INC,US-2018174222-A1,US-2018227251-A1,CHOSOKABE KIRIKO,G06Q30/06,H04L51/04,2016
130,PAYPAL INC,US-2018174222-A1,US-2018227251-A1,URUTA HIROYA,G06Q30/06,H04L51/04,2016
131,SCARASSO ALBERT,US-2017308943-A1,US-2018349990-A1,IBM,G06Q30/06,G06Q40/02,2017
132,RAO BOPPANA VISWESWARA,US-2017262922-A1,US-2019244700-A1,AGANYAN INC,G06Q30/06,G16H20/13,2016
133,WAL-MART STORES INC,US-2017221119-A1,US-10097624-B1,KONG INC,G06Q30/06,H04L67/10,2016
134,PERFECT365 TECH COMPANY LTD,US-2018374128-A1,US-10373348-B2,OPTIM CORP,G06Q30/06,G06T11/00,2017
135,NIKE INC,US-10062097-B2,US-10282773-B2,NIKE INC,G06Q30/06,G06Q30/06,2016
136,AMAZON TECH INC,US-9715606-B2,US-10534993-B2,TOPPAN PRINTING CO LTD,G06Q30/06,G06K19/07,2016
137,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-106296367-A,CN-106981008-A,BEIJING XIAOMI MOBILE SOFTWARE CO LTD,G06Q30/06,G06Q30/06,2016
138,STATE GRID E COMMERCE CO LTD,CN-107240001-A,WO-2019148783-A1,ONE CONNECT SMART TECH CO LTD SHENZHEN,G06Q30/06,G06Q20/38,2017
139,WAL-MART STORES INC,US-2017102839-A1,US-2018300022-A1,HOME DEPOT PRODUCT AUTHORITY LLC,G06Q30/06,G06F3/048,2016
140,IBM,US-10049401-B2,US-2017219355-A1,STUBHUB INC,G06Q30/06,G01C21/20,2017
141,KEENWAWA INC,US-2017055752-A1,US-2017372290-A1,TOSHIBA TEC KK,G06Q30/06,G06Q20/20,2016
142,TEN-X LLC,US-2017249682-A1,US-10474640-B1,ROCHE JR GABINO M,G06Q30/06,G06F16/17,2017
143,GOGORO INC,US-2017039631-A1,US-2018222340-A1,GM GLOBAL TECH OPERATIONS LLC,G06Q30/06,B60L11/18,2016
144,ELECTRONIC COMMUNICATION TECH LLC,US-9679322-B2,US-2018139590-A1,GOOGLE LLC,G06Q30/06,H04W4/14,2016
145,EBAY INC,US-2016210678-A1,US-10061767-B1,GOOGLE LLC,G06Q30/06,G06F17/27,2016
146,SQUARE INC,US-2016203667-A1,US-9595033-B2,SQUARE INC,G06Q30/06,G06Q20/32,2016
147,LG HOUSEHOLD & HEALTH CARE LTD,KR-20190050832-A,KR-102071651-B1,ROSAPACIFIC CO LTD,G06Q30/06,G06Q50/04,2017
148,PAN CHONGGUANG,CN-106408365-A,US-10368206-B2,SHANG HAI PAN SHI TOU ZI GUAN LI YOU XIAN GONG SI,G06Q30/06,H04W4/024,2016
149,HOME DEPOT PRODUCT AUTHORITY LLC,US-2017372394-A1,US-10479319-B1,DRIVENT LLC,G06Q30/06,B60R25/01,2017
150,MASTERCARD INTERNATIONAL INC,US-2017206593-A1,US-10327035-B2,SONIFI SOLUTIONS INC,G06Q30/06,H04N21/47,2016
151,NEXTEV USA INC,US-2018013211-A1,US-2018212780-A1,FORD GLOBAL TECH LLC,G06Q30/06,B60W50/08,2016
152,BEIJING XIAODU INF TECH CO LTD,CN-107146128-A,CN-107886412-A,XIAMEN XINFENHONG NETWORK TECH CO LTD,G06Q30/06,G06Q30/06,2017
153,LINKEDIN CORP,US-2017243277-A1,US-9886172-B1,RICH MEDIA VENTURES LLC,G06Q30/06,G06F3/048,2016
154,BEIJING XIAODU INF TECH CO LTD,CN-107292701-A,CN-109118137-A,BEIJING GEEKPLUS TECH CO LTD,G06Q30/06,G06Q10/08,2017
155,24/7 CUSTOMER INC,US-2017140449-A1,US-10529327-B1,PARALLELS INT GMBH,G06Q30/06,G10L15/22,2016
156,LEHMANN RICHARD,US-2018158120-A1,US-10482528-B2,SHEYKHETOV BORIS,G06Q30/06,G06Q30/08,2016
157,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,US-2018025407-A1,US-10440321-B2,BOE TECHNOLOGY GROUP CO LTD,G06Q30/06,H04N7/147,2016
158,NASDAQ INC,US-2017004578-A1,US-10535092-B2,NASDAQ INC,G06Q30/06,G06Q30/06,2016
159,WAL-MART STORES INC,US-2017039617-A1,US-10360617-B2,WALMART APOLLO LLC,G06Q30/06,G06Q30/06,2016
160,EBAY INC,US-9910927-B2,US-10083243-B2,EBAY INC,G06Q30/06,G06F17/30,2016
161,MASTERCARD INTERNATIONAL INC,US-2016379290-A1,US-2018285859-A1,SANDOVAL MYRA,G06Q30/06,G06Q20/34,2016
162,SHENZHEN TAOTAOGU INFORMATION TECH CO LTD,CN-106097073-A,CN-106790234-A,VIVO COMM TECHNOLOGY CO LTD,G06Q30/06,H04L63/04,2016
163,WAL-MART STORES INC,US-2017221119-A1,WO-2020005826-A1,WALMART APOLLO LLC,G06Q30/06,G06T7/33,2016
164,LYCL INC,CN-108376352-A,CN-109143925-A,SHANGHAI CHANGREN INFORMATION TECH CO LTD,G06Q30/06,G05B19/04,2017
165,KYOCERA CORP,WO-2018079590-A1,WO-2019236763-A1,LYFT INC,G06Q30/06,B60L58/13,2017
166,IMAGR LTD,WO-2017146595-A1,WO-2020038507-A1,BOOS HERBERT,G06Q30/06,G07G1/000,2017
167,UNIV NINGBO,CN-106920146-A,CN-108830783-A,BEIJING SENSETIME SCIENCE TECH LTD,G06Q30/06,G06T3/001,2017
168,PANJIVA INC,US-2017323358-A1,WO-2019113124-A1,PANJIVA INC,G06Q30/06,G06F16/28,2017
169,ROVI GUIDES INC,WO-2018080532-A1,EP-3567864-A1,COMCAST CABLE COMM LLC,G06Q30/06,H04N21/48,2016
170,FRANCIS THOMAS,US-2017116663-A1,US-10024681-B2,WALMART APOLLO LLC,G06Q30/06,G01C21/20,2016
171,SHENZHEN CHARGERLINK INC,CN-107133841-A,WO-2019223385-A1,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/06,2017
172,ESTEBAN MICHELLE,US-2017316488-A1,EP-3534307-A1,MEALHERO,G06Q30/06,G06Q10/06,2017
173,ALIBABA GROUP HOLDING LTD,CN-107301577-A,CN-108681750-A,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06K9/628,2016
174,ADIDAS AG,US-2016364790-A1,US-2017161649-A1,WAL-MART STORES INC,G06Q30/06,G06Q10/02,2016
175,AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC,US-2018165738-A1,US-2018300341-A1,IBM,G06Q30/06,G06F16/95,2016
176,ETOUCHES INC,US-2018040042-A1,US-10108996-B2,BANK OF AMERICA,G06Q30/06,G06Q30/06,2017
177,ZHANG ZHENFENG,CN-107133850-A,CN-107898303-A,GUANGDONG MIDEA KITCHEN APPLIANCES MFG CO LTD,G06Q30/06,A47J37/06,2017
178,WAL-MART STORES INC,US-2017221119-A1,US-10445690-B2,WAL MART STORES INC,G06Q30/06,G06Q10/08,2016
179,WAL-MART STORES INC,US-2017316489-A1,WO-2020038351-A1,SHANGHAI ZHANGMEN SCIENCE AND TECH CO LTD,G06Q30/06,G06Q30/06,2017
180,SUNRISE R&D HOLDINGS LLC,US-2016328767-A1,US-9811315-B1,LI CHIAN CHIU,G06Q30/06,G06F3/167,2016
181,KELAMAYI RONGXIN ZHIYOU INFORMATION TECH CO LTD,CN-106886937-A,CN-107749013-A,GUANGDONG YUANZHENG BIDDING AND PURCHASE CO LTD,G06Q30/06,G06Q30/06,2017
182,DAVIS BRUCE L,US-2017221121-A1,US-2017017856-A1,TOSHIBA KK,G06Q30/06,G06K9/325,2017
183,KEENWAWA INC,US-2017055752-A1,US-2017372290-A1,FAST RETAILING CO LTD,G06Q30/06,G06Q20/20,2016
184,JIANGSU BAIXUE ELECTRIC APPLIANCES CO LTD,CN-106297010-A,CN-107808454-A,ZHOU MING,G06Q30/06,G07F17/12,2016
185,OPTITEX LTD,US-2016284017-A1,US-2017024928-A1,ADIDAS AG,G06Q30/06,G06T15/50,2016
186,AGALMIC INC,US-2017300984-A1,US-2019066183-A1,BIFOLCO MICHAEL,G06Q30/06,G06Q30/06,2017
187,GIFT CARD IMPRESSIONS LLC,US-9582827-B2,US-10515397-B2,Uptown Network LLC,G06Q30/06,G06Q30/06,2016
188,FUJIAN FOXIT SOFTWARE DEV JOINT STOCK CO LTD,WO-2018006575-A1,CN-109039869-A,BEIJING DAJIA INTERCONNECTION INFORMATION TECH CO LTD,G06Q30/06,H04L51/32,2017
189,CHOW EDMOND K,US-2016225059-A1,US-2018137090-A1,IBM,G06Q30/06,G06F17/22,2016
190,EBAY INC,US-9779439-B2,US-2018012278-A1,EBAY INC,G06Q30/06,G06Q30/06,2016
191,LINKEDIN CORP,US-2017243277-A1,US-10015244-B1,RICH MEDIA VENTURES LLC,G06Q30/06,G06F40/16,2016
192,BANK OF AMERICA,US-9519932-B2,US-10462150-B2,BANK OF AMERICA,G06Q30/06,H04L63/10,2016
193,HANGZHOU JINGO TECH CO LTD,CN-107492012-A,CN-108932674-A,FUJIAN XIHUO INFORMATION TECH CO LTD,G06Q30/06,G06Q50/12,2017
194,WANG KEVIN SUNLIN,WO-2017136226-A1,WO-2019133456-A1,LYFT INC,G06Q30/06,G06Q10/06,2017
195,LEE BEOP SEONG,KR-20180050144-A,KR-102037628-B1,JUNG BYOUNG GEOL,G06Q30/06,G06Q30/06,2016
196,UNIV HANGZHOU DIANZI,CN-106296350-A,CN-107657009-A,NANJING URBAN AND TRANSP PLANNING AND DESIGN INSTITUTE CO LTD,G06Q30/06,G06F16/24,2016
197,MAGIC LEAP INC,WO-2016210354-A1,WO-2018232463-A1,TAHENY SEAN,G06Q30/06,G06Q30/02,2016
