,num_critic_for_reviews,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,content_rating,imdb_score,Biography,Comedy,Crime,Drama,Romance,Mystery_Thriller_Horror,Sci-Fi_Fantasy,Family_Animation,Action_Adventure,History_War,Others,director_rank,actor1_rank,actor2_rank,actor3_rank,gross_budget_ratio,log_duration,log_cast_total_facebook_likes,log_director_facebook_likes,log_budget,log_gross_budget_ratio,log_movie_facebook_likes,log_actor_1_facebook_likes,log_actor_2_facebook_likes,log_actor_3_facebook_likes
32,2.0,800000.0,892,0.0,21.0,PG,5.2,0,0,0,0,0,1,0,0,1,0,0,5,3,3,5,0.057142857142857134,4.770684624465665,7.639642287858013,4.330733340286331,16.454567887579532,-2.8622008809294686,4.330733340286331,6.804614520062624,6.1903154058531475,5.517452896464707
33,52.0,85300000.0,48629,1.0,134.0,R,6.9,0,1,0,0,0,0,0,0,1,1,0,7,7,4,4,8.53,4.762173934797756,10.217495050155458,6.052089168924417,16.11809565095832,2.1435893615035875,6.052089168924417,9.472704636443673,9.305650551780507,6.803505257608338
34,13.0,8500000.0,2061,0.0,34.0,PG,5.4,0,1,0,0,0,0,0,0,0,0,0,6,3,3,4,0.425,4.584967478670572,7.473637108496206,2.70805020110221,16.811242831518264,-0.8556661100577202,2.70805020110221,6.53813982376767,5.924255797414532,5.638354669333745
35,11.0,69700000.0,7748,2.0,48.0,R,5.8,0,1,0,0,0,0,0,0,0,0,1,6,3,3,4,1.9914285714285715,4.736198448394496,8.212839584676484,2.9444389791664403,17.37085861945369,0.6888522562770646,2.9444389791664403,6.907755278982137,6.78332520060396,6.7357800142423265
38,215.0,434949459.0,281842,0.0,515.0,PG,7.9,0,0,0,0,0,0,1,1,0,0,0,9,3,3,5,41.423758,4.787491742782046,7.941295570906532,9.546812608597396,16.166885815127753,3.72385458096817,9.546812608597396,6.7580945044277305,6.586171654854675,6.306275286948016
39,43.0,46700000.0,19832,1.0,98.0,PG,5.9,0,0,0,0,0,1,0,0,1,0,0,9,5,2,3,2.223809523809524,4.912654885736052,9.729431740159207,9.680344001221918,16.860032995687696,0.7992217269514287,9.680344001221918,9.680344001221918,5.638354669333745,5.375278407684165
40,145.0,125212904.0,172489,1.0,376.0,R,7.7,0,0,0,1,0,0,0,0,1,0,0,8,6,3,6,8.943778857142858,4.532599493153256,9.628524252492122,5.598421958998375,16.454567887579532,2.1909581908323434,5.598421958998375,9.472704636443673,6.860663671448287,6.282266746896006
42,40.0,5333658.0,2541,2.0,54.0,PG,3.5,0,0,0,0,0,0,1,0,1,0,0,4,2,2,4,0.2666829,4.59511985013459,7.212294468500341,5.937536205082426,16.811242831518264,-1.321694966835127,5.937536205082426,6.1224928095143865,5.627621113690637,5.5254529391317835
43,223.0,76600000.0,105446,0.0,321.0,PG,7.4,0,0,0,0,0,1,1,0,0,0,0,7,3,3,7,7.158878504672898,4.787491742782046,8.262558973010657,5.8998973535824915,16.185754299432134,1.9683533352786853,5.8998973535824915,6.787844982309579,6.646390514847729,6.583409222158765
44,75.0,105500000.0,31260,0.0,152.0,R,6.2,0,1,0,0,0,0,0,0,0,0,0,4,2,2,3,26.375,4.543294782270004,6.366470447731438,4.430816798843313,15.201804919084164,3.2724165917962305,4.430816798843313,4.700480365792417,4.553876891600541,4.553876891600541
45,148.0,78900000.0,91414,2.0,359.0,PG,7.7,0,0,0,0,0,0,1,0,1,0,0,8,4,3,5,7.172727272727273,4.7535901911063645,9.713476507257793,4.787491742782046,16.213405830762646,1.970285955053458,4.787491742782046,9.392661928770137,6.887552571664617,6.498282149476434
46,297.0,13782838.0,258078,0.0,911.0,R,8.2,0,0,0,0,0,1,1,0,0,0,0,7,3,2,4,0.9188558666666666,4.6913478822291435,7.471363088187097,0.0,16.523560759066484,-0.08462600606850149,0.0,6.863803391452954,5.093750200806762,4.976733742420574
47,94.0,177200000.0,77366,1.0,194.0,PG,7.4,0,1,0,1,1,0,0,0,0,0,0,7,7,3,5,8.054545454545455,4.7535901911063645,9.595670797663967,6.255750041753367,16.90655301132259,2.086236584812665,6.255750041753367,9.472704636443673,6.255750041753367,6.175867270105761
48,79.0,54000000.0,26310,0.0,154.0,R,7.8,0,0,0,1,0,0,0,0,0,0,0,8,3,3,4,3.375,4.859812404361672,7.753623546559746,0.0,16.588099280204055,1.2163953243244932,0.0,6.738152494595957,6.424869023905388,5.883322388488279
49,51.0,94900000.0,35172,0.0,128.0,R,6.1,0,0,0,1,1,0,0,0,0,0,1,7,2,2,3,23.725,4.553876891600541,6.673297967767654,5.3612921657094255,15.201804919084164,3.1665293444959914,5.3612921657094255,5.41610040220442,5.159055299214529,4.5217885770490405
50,162.0,14400000.0,28589,0.0,532.0,R,4.6,0,0,0,0,0,1,1,0,0,0,0,5,2,2,3,5.76,4.584967478670572,6.52795791762255,3.1780538303479458,14.73180128983843,1.7509374747078,3.1780538303479458,5.942799375126701,4.852030263919617,4.204692619390966
51,29.0,12200000.0,7973,0.0,65.0,PG,6.3,0,0,1,1,0,1,0,0,1,0,1,7,3,3,4,2.44,4.672828834461906,7.776115477098742,2.0794415416798357,15.424948470398375,0.8919980393051105,2.0794415416798357,6.8308742346461795,5.991464547107982,5.5909869805108565
52,55.0,61400000.0,71183,1.0,183.0,R,7.4,0,1,0,0,0,0,0,0,1,0,0,7,3,4,6,4.093333333333334,4.584967478670572,8.193400231952097,9.305650551780507,16.523560759066484,1.4093596340508867,9.305650551780507,6.704414354964107,6.543911845564792,6.436150368369428
53,89.0,55500000.0,48636,3.0,214.0,PG,6.2,0,0,0,0,0,1,0,0,1,0,0,8,2,3,3,1.5416666666666667,4.795790545596741,6.635946555686647,6.78332520060396,17.399029496420383,0.4328640822962789,6.78332520060396,5.19295685089021,5.147494476813453,4.890349128221754
54,106.0,67900000.0,74374,0.0,225.0,PG,6.6,0,0,0,0,0,1,0,0,1,0,0,7,2,3,4,2.469090909090909,4.875197323201151,7.5485559791698735,3.828641396489095,17.1296965626368,0.9038500298921247,3.828641396489095,6.386879319362645,5.713732805509369,5.680172609017068
55,60.0,25600000.0,57363,0.0,308.0,PG-13,7.2,0,0,1,1,0,0,0,0,0,0,0,8,7,3,4,2.56,4.736198448394496,9.400712766959849,0.0,16.11809565095832,0.9400072584914712,0.0,9.210340371976184,6.823286122355687,6.54965074223381
56,197.0,309125409.0,681857,0.0,647.0,PG,8.4,0,0,0,0,0,0,1,0,1,0,0,9,7,3,5,9.511551046153846,4.897839799950911,9.521421537856195,3.6109179126442243,17.296750647299966,2.2525069595943785,3.6109179126442243,9.305650551780507,6.907755278982137,6.222576268071369
57,80.0,21500000.0,45271,0.0,170.0,PG,7.9,0,0,0,1,0,0,0,0,1,1,0,8,4,5,9,0.7962962962962963,5.262690188904886,8.754791763700032,4.890349128221754,17.111347423968603,-0.22778393087071197,4.890349128221754,7.600902459542082,6.716594773520978,6.709304340258298
58,147.0,44700000.0,537442,0.0,851.0,R,8.3,0,0,1,1,0,0,0,0,0,0,0,8,5,4,6,1.788,4.955827057601261,9.708931458073831,0.0,17.034386382832476,0.5810976767513224,0.0,9.546812608597396,6.507277712385012,6.45833828334479
59,95.0,60000000.0,49934,1.0,224.0,PG,4.9,0,1,0,0,0,0,1,0,1,0,0,6,3,3,5,1.5384615384615383,4.8283137373023015,7.753194269884341,3.784189633918261,17.47907220409392,0.43078291609245417,3.784189633918261,6.385194398997726,6.295266001439646,6.040254711277414
60,71.0,90400000.0,102895,2.0,159.0,R,7.5,0,1,0,0,0,0,0,0,0,0,0,8,2,3,3,2.226600985221675,4.7535901911063645,6.739336627357174,6.467698726104354,17.51927862457196,0.8004762007904438,6.467698726104354,5.971261839790462,5.517452896464707,5.293304824724492
61,78.0,29500000.0,25613,0.0,121.0,PG,6.5,0,0,0,0,0,1,1,0,0,0,0,7,3,3,4,2.95,4.61512051684126,7.577633832602728,5.659482215759621,16.11809565095832,1.0818051703517284,5.659482215759621,6.61338421837956,6.593044534142437,5.54907608489522
62,84.0,79568000.0,71842,0.0,152.0,PG,7.1,0,0,0,0,0,1,1,0,0,0,0,8,4,3,4,6.6306666666666665,4.736198448394496,8.420021279663963,4.9344739331306915,16.300417207752275,1.8917053521843823,4.9344739331306915,7.600902459542082,6.78332520060396,6.675823221634848
63,16.0,30400000.0,9503,1.0,68.0,PG,6.6,0,0,0,1,1,0,0,0,0,0,1,7,3,2,3,2.533333333333333,4.882801922586371,6.81783057145415,0.0,16.300417207752275,0.9295359586241757,0.0,6.003887067106539,5.267858159063328,4.804021044733257
64,134.0,51600000.0,270790,0.0,549.0,R,8.3,1,0,0,1,0,0,0,0,0,1,1,9,3,4,5,2.8666666666666667,5.19295685089021,8.031385330625534,6.767343125265392,16.70588231586044,1.0531499145913523,6.767343125265392,6.539585955617669,6.507277712385012,6.255750041753367
65,94.0,234760500.0,126464,1.0,175.0,R,7.3,0,1,1,0,0,0,0,0,1,0,0,7,3,3,4,16.768607142857142,4.653960350157523,8.150179269682326,4.624972813284271,16.454567887579532,2.819508515907332,4.624972813284271,6.803505257608338,6.405228458030842,5.948034989180646
66,29.0,8600000.0,17982,2.0,95.0,PG,7.0,0,0,0,1,1,0,0,0,1,1,0,8,7,6,4,0.344,4.882801922586371,10.243311309390855,4.3694478524670215,17.034386382832476,-1.0671136216087387,4.3694478524670215,9.546812608597396,9.392661928770137,6.907755278982137
67,77.0,26400000.0,62009,1.0,109.0,PG,5.8,0,0,0,0,0,0,1,0,1,0,0,6,3,3,4,1.4666666666666666,4.634728988229636,7.816416983691801,4.867534450455582,16.70588231586044,0.3829922522561057,4.867534450455582,6.53813982376767,6.16541785423142,6.0063531596017325
68,36.0,25900000.0,12771,1.0,84.0,R,6.5,0,0,1,1,0,0,0,0,0,0,1,8,8,5,4,0.44655172413793104,4.812184355372417,9.8412397390566,0.0,17.875953568510692,-0.8062000418409273,0.0,9.392661928770137,8.517193191416238,6.786716950605081
69,144.0,27400000.0,97087,3.0,569.0,PG-13,6.6,0,0,0,0,0,0,1,0,1,0,0,8,3,3,3,0.685,5.176149732573829,7.803435056952168,0.0,17.50439001207821,-0.3783364407199117,0.0,6.816735880594968,5.8916442118257715,5.308267697401205
70,45.0,15100000.0,22797,1.0,96.0,R,6.0,0,0,0,0,0,1,1,0,1,0,0,7,3,3,5,1.0066666666666666,4.736198448394496,8.144388865547622,4.290459441148391,16.523560759066484,0.006644542718668511,4.290459441148391,6.543911845564792,6.483107351457199,6.333279628139691
71,60.0,80000000.0,51459,0.0,113.0,PG,6.5,0,0,0,1,1,0,0,0,0,0,1,7,3,3,4,9.75609756097561,4.672828834461906,7.581719640125308,4.2626798770413155,15.919644712234481,2.277892480403674,4.2626798770413155,6.874198495453294,6.12029741895095,5.717027701406222
72,166.0,32600000.0,29488,0.0,326.0,R,5.9,0,0,0,0,0,1,0,0,0,0,0,6,2,2,3,18.11111111111111,4.574710978503383,6.1463292576688975,2.833213344056216,14.403297222866392,2.8965256234705428,2.833213344056216,5.062595033026967,4.430816798843313,4.30406509320417
73,183.0,148170000.0,142293,0.0,245.0,PG,7.2,0,1,0,0,0,1,1,0,0,0,0,7,2,2,3,13.47,4.663439094112067,7.627057417018934,5.659482215759621,16.213405830762646,2.6004649904222727,5.659482215759621,6.642486801367256,5.638354669333745,5.4510384535657
74,9.0,5100000.0,6595,0.0,61.0,R,6.0,0,1,0,1,1,0,0,0,0,0,0,6,3,3,4,0.68,4.6913478822291435,7.6128310304073565,4.127134385045092,15.830413578506539,-0.3856624808119846,4.127134385045092,6.369900982828227,6.313548046277095,6.249975242259483
75,148.0,179870271.0,329969,2.0,524.0,PG,7.6,0,0,0,0,0,0,0,0,1,0,0,9,7,3,4,6.42393825,4.770684624465665,9.38412559774785,9.546812608597396,17.14771506813948,1.8600313642072277,9.546812608597396,9.305650551780507,6.061456918928017,5.4680601411351315
76,81.0,90800000.0,126907,0.0,235.0,PG,7.2,0,0,0,1,0,0,0,1,1,0,1,8,2,3,4,11.35,4.836281906951478,7.602900462204755,4.382026634673881,15.89495209964411,2.4292177439274116,4.382026634673881,6.504288173536645,6.46302945692067,5.41610040220442
77,256.0,26505000.0,149285,1.0,668.0,X,7.5,0,0,0,0,0,1,0,0,0,0,0,7,9,5,4,14.725,4.61512051684126,10.667046597336439,0.0,14.403297222866392,2.6895467295376503,0.0,10.596634733096073,6.747586526829315,6.352629396319567
79,52.0,26400000.0,12980,0.0,89.0,PG,7.4,0,0,0,1,0,0,0,0,1,1,0,8,2,3,5,1.65,5.099866427824199,7.195937226475569,6.642486801367256,16.588099280204055,0.5007752879124892,6.642486801367256,5.8805329864007,5.407171771460119,5.087596335232384
80,45.0,81200000.0,87739,0.0,133.0,R,6.7,0,1,0,0,0,0,0,0,0,0,0,6,3,3,5,18.044444444444444,4.564348191467836,8.043342170441608,3.6109179126442243,15.319587954740548,2.8928378503913583,3.6109179126442243,6.68586094706836,6.633318433280377,6.295266001439646
81,43.0,69800000.0,54723,2.0,99.0,PG,6.2,0,1,0,0,1,0,1,0,0,0,0,8,7,2,3,8.725,4.709530201312334,9.639587108749145,7.600902459542082,15.89495209964411,2.1661924680884908,7.600902459542082,9.615805480084347,5.081404364984463,3.9318256327243257
82,110.0,76400000.0,58743,1.0,192.0,PG,6.6,0,0,0,0,0,0,1,0,1,0,0,7,4,4,6,4.494117647058824,4.653960350157523,9.599811590329997,9.392661928770137,16.64872390202049,1.5027693521162588,9.392661928770137,9.392661928770137,6.498282149476434,6.466144724237619
83,204.0,38400000.0,600266,1.0,692.0,R,8.1,0,0,0,0,0,0,1,0,1,0,0,9,4,3,4,5.907692307692307,4.672828834461906,8.183676582620658,0.0,15.687312734865866,1.7762552826920897,0.0,7.600902459542082,6.4967749901858625,5.541263545158426
84,99.0,20158808.0,99557,1.0,284.0,PG,7.4,0,0,0,1,0,0,1,1,1,0,0,8,2,3,4,0.7466225185185185,4.543294782270004,7.352441100243583,5.517452896464707,17.111347423968603,-0.2921955515333573,5.517452896464707,6.259581464064923,5.7430031878094825,5.602118820879701
85,198.0,210609762.0,732212,0.0,809.0,PG,8.5,0,1,0,0,0,0,1,0,1,0,0,8,3,3,4,11.084724315789476,4.7535901911063645,8.080237416216702,0.0,16.759949537130716,2.405567972735508,0.0,6.907755278982137,6.536691597591305,6.129050210060545
86,230.0,9929000.0,152306,0.0,513.0,R,8.0,0,0,0,1,0,0,1,0,0,0,0,8,10,5,7,0.6619333333333334,4.955827057601261,10.291297725405572,0.0,16.523560759066484,-0.41259043305075294,0.0,9.998797732340453,8.517193191416238,6.907755278982137
87,70.0,94175854.0,60988,0.0,199.0,PG-13,7.8,0,0,0,1,0,0,0,0,0,0,0,9,3,3,5,6.278390266666666,5.0369526024136295,7.860185057472165,9.546812608597396,16.523560759066484,1.8371136206588294,9.546812608597396,6.747586526829315,6.364750756851911,5.602118820879701
88,124.0,57491000.0,111649,0.0,437.0,R,6.7,0,0,0,0,0,1,0,0,1,0,0,7,3,3,5,5.7491,4.31748811353631,8.068402958569699,4.290459441148391,16.11809565095832,1.749043320819323,4.290459441148391,6.907755278982137,6.61338421837956,6.364750756851911
90,55.0,33000000.0,9424,1.0,109.0,PG-13,6.9,0,1,0,1,0,0,0,0,1,0,1,7,3,3,4,3.3,4.6913478822291435,8.129764445794171,4.356708826689592,16.11809565095832,1.1939224684724346,4.356708826689592,6.74993119378857,6.734591659972948,6.428105272684596
91,117.0,36200000.0,101840,2.0,193.0,PG-13,6.2,0,0,0,0,0,1,1,0,1,0,0,7,2,3,3,2.9417685050850744,4.672828834461906,7.332369205929062,6.620073206530356,16.325558743951607,1.0790109328443935,6.620073206530356,6.677083461247136,6.274762021241939,4.0943445622221
92,138.0,30000000.0,43485,0.0,327.0,R,5.4,0,0,0,0,0,1,1,0,0,0,0,6,2,3,4,13.636363636363635,4.465908118654584,7.294377299288821,3.332204510175204,14.603967918328545,2.6127400212978853,3.332204510175204,6.054439346269371,5.883322388488279,5.37989735354046
93,66.0,87100000.0,52339,0.0,200.0,PG,7.2,1,0,0,1,1,0,0,0,0,0,0,7,5,3,4,2.8096774193548386,5.081404364984463,9.434922887484646,6.255750041753367,17.24949776244942,1.0330696793733107,6.255750041753367,9.305650551780507,6.824373670043086,5.214935757608986
94,38.0,41400000.0,39451,0.0,138.0,R,7.3,0,0,0,0,0,0,0,0,0,0,1,9,5,3,3,6.0,4.74493212836325,9.753187781764911,9.680344001221918,15.747031969567487,1.791759469228055,9.680344001221918,9.680344001221918,6.12029741895095,5.480638923341991
95,96.0,150415432.0,117606,0.0,217.0,R,6.4,0,0,0,0,0,1,0,0,1,1,0,7,6,3,4,3.418532545454545,4.564348191467836,9.658992675310882,5.135798437050262,17.599700191882537,1.229211378716782,5.135798437050262,9.472704636443673,6.6039438246004725,6.504288173536645
96,59.0,6948633.0,30215,1.0,95.0,PG-13,5.0,0,0,0,0,0,0,1,0,1,0,0,6,2,3,4,0.3881917877094972,4.48863636973214,7.1252830915107115,4.867534450455582,16.70031127081098,-0.9462557632636328,4.867534450455582,6.095824562432225,5.7430031878094825,5.209486152841421
97,46.0,33200000.0,28247,4.0,149.0,PG-13,7.2,0,0,1,1,0,0,0,0,1,0,1,7,3,2,3,1.2769230769230768,4.890349128221754,7.050989447068045,6.63200177739563,17.073607095985757,0.24445333790096074,6.63200177739563,6.716594773520978,4.867534450455582,4.204692619390966
98,108.0,50300000.0,68565,2.0,300.0,PG,6.3,0,0,0,0,0,1,0,0,1,0,0,7,3,3,4,1.6766666666666667,4.875197323201151,7.987184748233473,3.828641396489095,17.216707939626428,0.5168076954435382,3.828641396489095,6.907755278982137,6.0844994130751715,6.07073772800249
99,65.0,7369373.0,4288,1.0,74.0,R,5.7,0,0,0,0,0,1,0,0,0,0,0,6,2,2,3,3.6846864999999998,4.584967478670572,6.803505257608338,4.442651256490317,14.508657738524219,1.304185447395383,4.442651256490317,5.579729825986222,5.267858159063328,5.225746673713202
100,83.0,65500000.0,66966,1.0,175.0,R,7.4,0,0,1,1,1,1,0,0,0,0,0,9,7,6,6,5.458333333333332,4.718498871295094,10.020336819032421,6.410174881966167,16.300417207752275,1.6971434928532056,6.410174881966167,9.305650551780507,9.210340371976184,6.597145701886651
101,64.0,4250320.0,14870,1.0,86.0,PG-13,6.8,0,0,0,0,0,1,1,0,1,0,0,8,2,2,3,0.2361288888888889,4.6913478822291435,6.405228458030842,5.605802066295998,16.70588231586044,-1.443377483676652,5.605802066295998,5.043425116919247,4.969813299576001,4.820281565605037
102,35.0,174635000.0,74743,1.0,93.0,PG-13,6.5,0,1,0,0,0,0,0,0,1,0,0,7,3,3,3,19.844886363636363,4.532599493153256,6.71174039505618,1.3862943611198906,15.990262279448435,2.9879463600224314,1.3862943611198906,6.091309882077698,5.087596335232384,4.532599493153256
103,250.0,85200000.0,488537,1.0,1076.0,R,8.4,0,0,0,0,0,0,1,0,1,0,0,9,4,3,5,4.605405405405405,5.0369526024136295,8.349484346990128,0.0,16.733281290048552,1.527230701750991,0.0,7.600902459542082,6.439350371100098,6.403574197934815
